METAL FORM CODE                            METAL FORM LITERAL
COPPER-INSULATED_WIRE                                 INSULATED WIRE
COPPER-INSULATED_WIRE_1                               #1 INSULATED WIRE
COPPER-INSULATED_WIRE_2                               #2 INSULATED WIRE
COPPER-LIGHTING                                       LIGHTING
COPPER-MENU                                           MENU
COPPER-MIXED                                          MIXED
COPPER-MIXED_1                                        #1 MIXED
COPPER-MIXED_2                                        #2 MIXED
COPPER-MOTOR                                          MOTOR
COPPER-NEEDLES                                        NEEDLES
COPPER-NEEDLES_WITH_PAPER                             NEEDLES WITH PAPER
COPPER-NON_INSULATED_WIRE_1                           #1 NON INSULATED WIRE
COPPER-PIPE                                           PIPE
COPPER-PIPE_1                                         #1 PIPE
COPPER-PIPE_2                                         #2 PIPE
COPPER-PLATE                                          PLATE
COPPER-POWER_INVERTER                                 Power Inverter
COPPER-RACK                                           RACK
COPPER-RADIATOR                                       RADIATOR
COPPER-REDA                                           REDA
COPPER-REEFER                                         REEFER
COPPER-REEFER_ENDS                                    REEFER ENDS
COPPER-REFINERY                                       REFINERY
COPPER-REFINERY_1                                     REFINERY #1
COPPER-ROMEX                                          ROMEX
COPPER-SHEET                                          SHEET
COPPER-STARTER_BEARING                                STARTER BEARING
COPPER-STATOR_RING                                    STATOR RING
COPPER-STRIPPABLE_WIRE_1                              #1 STRIPPABLE WIRE
COPPER-TRANSFORMER                                    TRANSFORMER
COPPER-TRANSFORMER_CORE                               TRANSFORMER CORE
COPPER-TUBING                                         TUBING
COPPER-TUBING_1                                       #1 TUBING
COPPER-TUBING_2                                       #2 TUBING
COPPER-TURNINGS                                       TURNINGS
COPPER-URD_CABLE                                      URD CABLE
COPPER-WIRE                                           WIRE
COPPER-WIRE_1                                         #1 WIRE
COPPER-WIRE_2                                         #2 WIRE
COPPER-WIRE_INSULATED_LOW_GRADE                       WIRE INSULATED LOW GRADE
COPPER-WIRE_LOW_RECOVERY                              WIRE LOW RECOVERY
LEADMATERIAL-GENERAL_PURPOSE_BATTERY                  General Purpose Battery
LEADMATERIAL-LEAD_NOT_A_BATTERY                       LEAD, NOT A BATTERY
LEADMATERIAL-SPECIAL_COMMERCIAL_INDUSTRIAL_USE        Special, Commercial/Industrial Use
LEADMATERIAL-SPECIAL_GOVERNMENTAL_ENTITY_USE          Special, Governmental Entity Use
LEADMATERIAL-SPECIAL_LEAD_PLATES                      Special, Lead Plates
LEADMATERIAL-SPECIAL_OTHER_DISTINGUISHING_FEATURES    Special, Other Distinguishing Features
LEADMATERIAL-SPECIAL_UNIQUELY_MARKED                  Special, Uniquely Marked
REGULATEDMETALS-AC_CONDENSING_COIL                    AC CONDENSING COIL
REGULATEDMETALS-AC_EVAPORATOR_COIL                    AC EVAPORATOR COIL
REGULATEDMETALS-ALUMINUM_CONTAINER                    ALUMINUM CONTAINER
REGULATEDMETALS-BACK_FLOW_VALVE                       BACK FLOW VALVE
REGULATEDMETALS-BEER_KEG                              BEER KEG
REGULATEDMETALS-CATALYTIC_CONVERTER                   CATALYTIC CONVERTER
REGULATEDMETALS-COMMERCIAL_GRADE_LEAD_BATTERY         Commercial Grade Lead Battery
REGULATEDMETALS-COMPRESSOR                            COMPRESSOR
REGULATEDMETALS-DRAIN_GATE                            DRAIN GATE
REGULATEDMETALS-FIRE_HYDRANT_OPERATING_NUT            FIRE HYDRANT OPERATING NUT
REGULATEDMETALS-GUARDRAIL                             GUARDRAIL
REGULATEDMETALS-HISTORICAL_MARKER                     HISTORICAL MARKER
REGULATEDMETALS-LEAD_ACID_BATTERY                     Lead-Acid Battery
REGULATEDMETALS-MANHOLE_COVER                         MANHOLE COVER
REGULATEDMETALS-METAL_CYLINDER                        METAL CYLINDER
REGULATEDMETALS-RAILROAD_EQUIPMENT                    RAILROAD EQUIPMENT
REGULATEDMETALS-REEFER                                REEFER
REGULATEDMETALS-SAFES                                 SAFES
REGULATEDMETALS-STAINLESS_STEEL_CONTAINER             STAINLESS STEEL CONTAINER
REGULATEDMETALS-STREET_SIGNS                          STREET SIGNS
REGULATEDMETALS-TRANSMISSION_WIRE                     TRANSMISSION WIRE
REGULATEDMETALS-UNUSED_REBAR                          UNUSED REBAR
REGULATEDMETALS-UTILITY_STRUCTURE                     UTILITY STRUCTURE
