VEHICLE CODE      VEHICLE LITERAL
AUTO-CADI-DTS      CADILLAC DTS
AUTO-CADI-ELD      CADILLAC ELDORADO
AUTO-CADI-ELR      CADILLAC NULL
AUTO-CADI-ESC      CADILLAC ESCALADE
AUTO-CADI-FLE      CADILLAC FLEETWOOD
AUTO-CADI-SEV      CADILLAC SEVILLE
AUTO-CADI-SLS      CADILLAC SLS
AUTO-CADI-SRX      CADILLAC SRX
AUTO-CADI-STS      CADILLAC STS
AUTO-CADI-TRS      CADILLAC TOURING SEDAN
AUTO-CADI-XLR      CADILLAC XLR
AUTO-CADI-XTS      CADILLAC NULL
AUTO-CHEC-AER      CHECKER AEROBUS
AUTO-CHEC-CUS      CHECKER CUSTOM
AUTO-CHEC-MTH      CHECKER MARATHON
AUTO-CHEC-SRB      CHECKER SUPERBA
AUTO-CHEV-000      CHEVROLET G20
AUTO-CHEV-210      CHEVROLET 210 SERIES
AUTO-CHEV-300      CHEVROLET 300 DELUXE
AUTO-CHEV-AST      CHEVROLET ASTRO
AUTO-CHEV-AVA      CHEVROLET AVALANCHE
AUTO-CHEV-AVO      CHEVROLET AVEO
AUTO-CHEV-BEL      CHEVROLET BEL AIR
AUTO-CHEV-BER      CHEVROLET BERETTA
AUTO-CHEV-BIS      CHEVROLET BISCAYNE
AUTO-CHEV-BLZ      CHEVROLET BLAZER
AUTO-CHEV-BRK      CHEVROLET BROOKWOOD
AUTO-CHEV-C10      CHEVROLET CHEYENNE
AUTO-CHEV-C15      CHEVROLET C/K 1500 PICKUP
AUTO-CHEV-C25      CHEVROLET C/K 2500 PICKUP
AUTO-CHEV-C35      CHEVROLET C/K 3500 PICKUP
AUTO-CHEV-CAM      CHEVROLET CAMARO
AUTO-CHEV-CAP      CHEVROLET CAPRICE
AUTO-CHEV-CAV      CHEVROLET CAVALIER
AUTO-CHEV-CBT      CHEVROLET COBALT
AUTO-CHEV-CEL      CHEVROLET CELEBRITY
AUTO-CHEV-CH2      CHEVROLET CHEVYII
AUTO-CHEV-CHY      CHEVROLET CHEYENNE ORLANDO SONIC
AUTO-CHEV-CIT      CHEVROLET CITATION
AUTO-CHEV-CLA      CHEVROLET CLASSIC
AUTO-CHEV-CLD      CHEVROLET COLORADO
AUTO-CHEV-CNF      CHEVROLET CONFEDERATE
AUTO-CHEV-CRS      CHEVROLET CORSICA
AUTO-CHEV-CRZ      CHEVROLET CRUZE
AUTO-CHEV-CTV      CHEVROLET CAPTIVA
AUTO-CHEV-CVR      CHEVROLET CORVAIR
AUTO-CHEV-CVT      CHEVROLET CORVETTE
AUTO-CHEV-DEL      CHEVROLET DEL RAY
AUTO-CHEV-ELC      CHEVROLET EL CAMINO (PRIOR TO 1981; 1981 AND LATER, USE TRU
AUTO-CHEV-ELL      CHEVROLET CHEVELLE
AUTO-CHEV-EPI      CHEVROLET EPICA, LS & LT
AUTO-CHEV-EQX      CHEVROLET EQUINOX
AUTO-CHEV-EST      CHEVROLET ESTATE WAGON
AUTO-CHEV-EVE      CHEVROLET CHEVETTEE
AUTO-CHEV-EXP      CHEVROLET EXPRESS (FULL-SIZE VAN)
AUTO-CHEV-FLE      CHEVROLET FLEETLINE
AUTO-CHEV-HHR      CHEVROLET HHR
AUTO-CHEV-IMP      CHEVROLET IMPALA
AUTO-CHEV-KIN      CHEVROLET KINGSWOOD
AUTO-CHEV-LLT      CHEVROLET LLT
AUTO-CHEV-LMA      CHEVROLET LUMINA APV
AUTO-CHEV-LUM      CHEVROLET LUMINA
AUTO-CHEV-LUV      CHEVROLET LUV
AUTO-CHEV-MAL      CHEVROLET MALIBU (INCLUDES CHEVELLES THRU 1977)
AUTO-CHEV-MET      CHEVROLET METRO-BEG MOD YEAR 1998
AUTO-CHEV-MOC      CHEVROLET MONTE CARLO
AUTO-CHEV-MON      CHEVROLET MONZA
AUTO-CHEV-MRV      CHEVROLET MRV
AUTO-CHEV-MTZ      CHEVROLET MATIZ
AUTO-CHEV-NOV      CHEVROLET NOVA (CHEVY II & CONCOURS)
AUTO-CHEV-OPT      CHEVROLET OPTRA
AUTO-CHEV-ORL      CHEVROLET NULL
AUTO-CHEV-PAR      CHEVROLET PARKWOOD
AUTO-CHEV-PRI      CHEVROLET PRIZM-BEG MOD YEAR 1998
AUTO-CHEV-S10      CHEVROLET S10
AUTO-CHEV-S14      CHEVROLET S14
AUTO-CHEV-SLV      CHEVROLET SILVERADO
AUTO-CHEV-SON      CHEVROLET NULL
AUTO-CHEV-SPE      CHEVROLET SPECTRUM
AUTO-CHEV-SPK      CHEVROLET NULL
AUTO-CHEV-SPR      CHEVROLET SPRINT/METRO
AUTO-CHEV-SPT      CHEVROLET SPORTVAN
AUTO-CHEV-SS       CHEVROLET NULL
AUTO-CHEV-SSR      CHEVROLET SSR
AUTO-CHEV-STM      CHEVROLET STYLE MASTER
AUTO-CHEV-STY      CHEVROLET STYLE LINE
AUTO-CHEV-SUB      CHEVROLET SURBURBAN
AUTO-CHEV-TAH      CHEVROLET TAHOE
AUTO-CHEV-TBZ      CHEVROLET TRAIL BLAZER
AUTO-CHEV-TOW      CHEVROLET TOWNSMAN
AUTO-CHEV-TRK      CHEVROLET TRACKER
AUTO-CHEV-TRV      CHEVROLET TRAVERSE
AUTO-CHEV-TRX      CHEVROLET NULL
AUTO-CHEV-U10      CHEVROLET U100
AUTO-CHEV-UPL      CHEVROLET UPLANDER
AUTO-CHEV-VEG      CHEVROLET VEGA
AUTO-CHEV-VEN      CHEVROLET VENTURE (MINI VAN)
AUTO-CHEV-VLT      CHEVROLET NULL
